"player","athlete_id_1"
"Andrew Wiggins",3059319
"Anthony Davis",6583
"Bojan Bogdanovic",3593
"Bradley Beal",6580
"Brandon Ingram",3913176
"Buddy Hield",2990984
"CJ McCollum",2490149
"Chris Paul",2779
"Collin Sexton",4277811
"D'Angelo Russell",3136776
"Damian Lillard",6606
"DeMar DeRozan",3978
"Dennis Schroder",3032979
"Devin Booker",3136193
"Devonte' Graham",3133601
"Dillon Brooks",3155526
"Domantas Sabonis",3155942
"Donovan Mitchell",3908809
"Evan Fournier",6588
"Giannis Antetokounmpo",3032977
"Ja Morant",4279888
"Jamal Murray",3936299
"James Harden",3992
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Jordan Clarkson",2528426
"Jrue Holiday",3995
"Julius Randle",3064514
"Kawhi Leonard",6450
"Kelly Oubre Jr.",3133603
"Kemba Walker",6479
"Kendrick Nunn",3056247
"Khris Middleton",6609
"Kristaps Porzingis",3102531
"LeBron James",1966
"Lou Williams",2799
"Luka Doncic",3945274
"Nikola Joki",3112335
"Nikola Vucevic",6478
"Pascal Siakam",3149673
"Russell Westbrook",3468
"Shai Gilgeous-Alexander",4278073
"Spencer Dinwiddie",2580782
"T.J. Warren",2982334
"Terrence Ross",6619
"Terry Rozier",3074752
"Tim Hardaway Jr.",2528210
"Tobias Harris",6440
"Trae Young",4277905
"Zach LaVine",3064440
